,dAge,dMass,dSatXUVFrac,dSatXUVTime,dXUVBeta,dLRatioAge,dLXUVAge,dLbolAge,dRadiusAge,dTempAge
simulation_98,5.4171186687834645,0.10983433267003828,-2.856934431561573,4.188563200374136,-0.9954103584652584,927.6285223833471,1.276373e-06,0.001184,0.134737,2914.075891
simulation_99,5.48833165195299,0.07356591179028099,-3.1219661897740787,7.996405572565711,-0.5984262425729047,1324.237794832968,7.43599e-08,9.847019e-05,0.090539,1909.186743
simulation_100,3.241952037102955,0.097199802073603,-2.9301408879037814,5.2360915607343115,-1.5889052047639245,851.167979475816,9.15213e-07,0.000779,0.121004,2772.036552
simulation_101,7.988842161646644,0.09699627525846573,-2.894791611496562,8.92444988396516,-0.7667007458080666,784.6240415690779,9.877342e-07,0.000775,0.120791,2770.954956
simulation_102,8.36210906780782,0.09424637910714848,-3.1724570977043665,10.403556660968604,-1.420144247704321,1487.852106212459,4.657721e-07,0.000693,0.117882,2729.52372
simulation_103,7.244243019120518,0.08091903722559451,-2.770536521450885,1.4249375281021652,-1.5241996017510908,7013.6012002148545,4.049275e-08,0.000284,0.100071,2372.516043
simulation_104,5.618407373700373,0.07962848880506987,-2.659420315146828,8.799685120602991,-1.0402489703746862,456.9192501718453,5.493312e-07,0.000251,0.098194,2320.087096
simulation_105,6.777443012231362,0.1098403942514478,-3.232805324221284,0.5371030329312829,-1.0297741236521163,23234.16426868113,5.095944e-08,0.001184,0.134747,2914.136144
simulation_106,6.897948246485232,0.09124450243748823,-3.085566618951525,3.5167979353156333,-1.3163766310953189,2952.673774479912,2.025283e-07,0.000598,0.114512,2673.1804
simulation_107,8.73496394484076,0.0897489821340629,-2.7227514147597303,4.318326816774482,-1.56222722042387,1586.062947666267,3.467706e-07,0.00055,0.112683,2639.792465
simulation_108,5.148972873760248,0.07055783781405799,-3.0928813635840156,8.606206242843143,-0.947380516282592,1238.4574993760018,4.443123e-08,5.502619e-05,0.090242,1658.960059
simulation_109,6.688491962099447,0.09208613381085247,-2.7652836849905724,2.7993114001050783,-1.6250309840450656,2389.865441016209,2.61521e-07,0.000625,0.115491,2690.433022
simulation_110,11.097729454524734,0.10672882681118467,-3.359469257311749,0.44631205138322894,-1.3173696557122119,157639.84608379152,6.832029e-09,0.001077,0.131402,2882.227389
simulation_111,9.559571248549089,0.098619752874309,-2.629369943229831,7.192094615285183,-0.9920490920404214,565.2289211304031,1.463124e-06,0.000827,0.122506,2793.31594
simulation_112,5.6680526389992565,0.09108906799449132,-3.2349491430944552,4.763404263821752,-1.6445974025598775,2282.134122523278,2.598445e-07,0.000593,0.114328,2669.932224
simulation_113,7.840018377913529,0.09099170772490324,-3.1691102356707708,9.86729072799565,-0.6228918575169213,1476.2038929819619,4.003512e-07,0.000591,0.114212,2667.788557
simulation_114,6.739272196588991,0.08659072679832971,-2.9647669247542634,3.96931070794423,-0.9164354028121886,1496.0934022619444,2.954361e-07,0.000442,0.108219,2551.522514
